,race,round,position,positionText,constructor,points,wins,win_race,winner_code
37,Portuguese Grand Prix,3,7,7,Aston Martin,5,0,0,NO
38,Portuguese Grand Prix,3,8,8,Alfa Romeo,0,0,0,NO
39,Portuguese Grand Prix,3,9,9,Williams,0,0,0,NO
40,Portuguese Grand Prix,3,10,10,Haas F1 Team,0,0,0,NO
41,Spanish Grand Prix,4,1,1,Mercedes,141,3,1,HAM
42,Spanish Grand Prix,4,2,2,Red Bull,112,1,0,NO
43,Spanish Grand Prix,4,3,3,McLaren,65,0,0,NO
44,Spanish Grand Prix,4,4,4,Ferrari,60,0,0,NO
45,Spanish Grand Prix,4,5,5,Alpine F1 Team,15,0,0,NO
46,Spanish Grand Prix,4,6,6,AlphaTauri,10,0,0,NO
47,Spanish Grand Prix,4,7,7,Aston Martin,5,0,0,NO
48,Spanish Grand Prix,4,8,8,Alfa Romeo,0,0,0,NO
49,Spanish Grand Prix,4,9,9,Williams,0,0,0,NO
50,Spanish Grand Prix,4,10,10,Haas F1 Team,0,0,0,NO
51,Monaco Grand Prix,5,1,1,Red Bull,149,2,1,VER
52,Monaco Grand Prix,5,2,2,Mercedes,148,3,0,NO
53,Monaco Grand Prix,5,3,3,McLaren,80,0,0,NO
54,Monaco Grand Prix,5,4,4,Ferrari,78,0,0,NO
55,Monaco Grand Prix,5,5,5,Aston Martin,19,0,0,NO
56,Monaco Grand Prix,5,6,6,AlphaTauri,18,0,0,NO
57,Monaco Grand Prix,5,7,7,Alpine F1 Team,17,0,0,NO
58,Monaco Grand Prix,5,8,8,Alfa Romeo,1,0,0,NO
59,Monaco Grand Prix,5,9,9,Williams,0,0,0,NO
60,Monaco Grand Prix,5,10,10,Haas F1 Team,0,0,0,NO
61,Azerbaijan Grand Prix,6,1,1,Red Bull,174,3,1,PER
62,Azerbaijan Grand Prix,6,2,2,Mercedes,148,3,0,NO
63,Azerbaijan Grand Prix,6,3,3,Ferrari,94,0,0,NO
64,Azerbaijan Grand Prix,6,4,4,McLaren,92,0,0,NO
65,Azerbaijan Grand Prix,6,5,5,AlphaTauri,39,0,0,NO
66,Azerbaijan Grand Prix,6,6,6,Aston Martin,37,0,0,NO
67,Azerbaijan Grand Prix,6,7,7,Alpine F1 Team,25,0,0,NO
68,Azerbaijan Grand Prix,6,8,8,Alfa Romeo,2,0,0,NO
69,Azerbaijan Grand Prix,6,9,9,Haas F1 Team,0,0,0,NO
70,Azerbaijan Grand Prix,6,10,10,Williams,0,0,0,NO
71,French Grand Prix,7,1,1,Red Bull,215,4,1,VER
72,French Grand Prix,7,2,2,Mercedes,178,3,0,NO
73,French Grand Prix,7,3,3,McLaren,110,0,0,NO
74,French Grand Prix,7,4,4,Ferrari,94,0,0,NO
75,French Grand Prix,7,5,5,AlphaTauri,45,0,0,NO
76,French Grand Prix,7,6,6,Aston Martin,40,0,0,NO
77,French Grand Prix,7,7,7,Alpine F1 Team,29,0,0,NO
78,French Grand Prix,7,8,8,Alfa Romeo,2,0,0,NO
79,French Grand Prix,7,9,9,Williams,0,0,0,NO
80,French Grand Prix,7,10,10,Haas F1 Team,0,0,0,NO
81,Styrian Grand Prix,8,1,1,Red Bull,252,5,1,VER
82,Styrian Grand Prix,8,2,2,Mercedes,212,3,0,NO
83,Styrian Grand Prix,8,3,3,McLaren,120,0,0,NO
84,Styrian Grand Prix,8,4,4,Ferrari,108,0,0,NO
85,Styrian Grand Prix,8,5,5,AlphaTauri,46,0,0,NO
86,Styrian Grand Prix,8,6,6,Aston Martin,44,0,0,NO
87,Styrian Grand Prix,8,7,7,Alpine F1 Team,31,0,0,NO
88,Styrian Grand Prix,8,8,8,Alfa Romeo,2,0,0,NO
89,Styrian Grand Prix,8,9,9,Williams,0,0,0,NO
90,Styrian Grand Prix,8,10,10,Haas F1 Team,0,0,0,NO
91,Austrian Grand Prix,9,1,1,Red Bull,286,6,1,VER
92,Austrian Grand Prix,9,2,2,Mercedes,242,3,0,NO
93,Austrian Grand Prix,9,3,3,McLaren,141,0,0,NO
94,Austrian Grand Prix,9,4,4,Ferrari,122,0,0,NO
95,Austrian Grand Prix,9,5,5,AlphaTauri,48,0,0,NO
96,Austrian Grand Prix,9,6,6,Aston Martin,44,0,0,NO
97,Austrian Grand Prix,9,7,7,Alpine F1 Team,32,0,0,NO
98,Austrian Grand Prix,9,8,8,Alfa Romeo,2,0,0,NO
99,Austrian Grand Prix,9,9,9,Williams,0,0,0,NO
100,Austrian Grand Prix,9,10,10,Haas F1 Team,0,0,0,NO
101,British Grand Prix,10,1,1,Red Bull,289,6,0,NO
102,British Grand Prix,10,2,2,Mercedes,285,4,1,HAM
103,British Grand Prix,10,3,3,McLaren,163,0,0,NO
104,British Grand Prix,10,4,4,Ferrari,148,0,0,NO
105,British Grand Prix,10,5,5,AlphaTauri,49,0,0,NO
106,British Grand Prix,10,6,6,Aston Martin,48,0,0,NO
107,British Grand Prix,10,7,7,Alpine F1 Team,40,0,0,NO
108,British Grand Prix,10,8,8,Alfa Romeo,2,0,0,NO
109,British Grand Prix,10,9,9,Williams,0,0,0,NO
110,British Grand Prix,10,10,10,Haas F1 Team,0,0,0,NO
111,Hungarian Grand Prix,11,1,1,Mercedes,303,4,0,NO
112,Hungarian Grand Prix,11,2,2,Red Bull,291,6,0,NO
113,Hungarian Grand Prix,11,3,3,Ferrari,163,0,0,NO
114,Hungarian Grand Prix,11,4,4,McLaren,163,0,0,NO
115,Hungarian Grand Prix,11,5,5,Alpine F1 Team,77,1,1,OCO
116,Hungarian Grand Prix,11,6,6,AlphaTauri,68,0,0,NO
117,Hungarian Grand Prix,11,7,7,Aston Martin,48,0,0,NO
118,Hungarian Grand Prix,11,8,8,Williams,10,0,0,NO
119,Hungarian Grand Prix,11,9,9,Alfa Romeo,3,0,0,NO
120,Hungarian Grand Prix,11,10,10,Haas F1 Team,0,0,0,NO
121,Belgian Grand Prix,12,1,1,Mercedes,310.5,4,0,NO
122,Belgian Grand Prix,12,2,2,Red Bull,303.5,7,1,VER
123,Belgian Grand Prix,12,3,3,McLaren,169,0,0,NO
124,Belgian Grand Prix,12,4,4,Ferrari,165.5,0,0,NO
125,Belgian Grand Prix,12,5,5,Alpine F1 Team,80,1,0,NO
126,Belgian Grand Prix,12,6,6,AlphaTauri,72,0,0,NO
127,Belgian Grand Prix,12,7,7,Aston Martin,53,0,0,NO
128,Belgian Grand Prix,12,8,8,Williams,20,0,0,NO
129,Belgian Grand Prix,12,9,9,Alfa Romeo,3,0,0,NO
130,Belgian Grand Prix,12,10,10,Haas F1 Team,0,0,0,NO
131,Dutch Grand Prix,13,1,1,Mercedes,344.5,4,0,NO
132,Dutch Grand Prix,13,2,2,Red Bull,332.5,8,1,VER
133,Dutch Grand Prix,13,3,3,Ferrari,181.5,0,0,NO
134,Dutch Grand Prix,13,4,4,McLaren,170,0,0,NO
135,Dutch Grand Prix,13,5,5,Alpine F1 Team,90,1,0,NO
136,Dutch Grand Prix,13,6,6,AlphaTauri,84,0,0,NO
137,Dutch Grand Prix,13,7,7,Aston Martin,53,0,0,NO
138,Dutch Grand Prix,13,8,8,Williams,20,0,0,NO
139,Dutch Grand Prix,13,9,9,Alfa Romeo,3,0,0,NO
140,Dutch Grand Prix,13,10,10,Haas F1 Team,0,0,0,NO
141,Italian Grand Prix,14,1,1,Mercedes,362.5,4,0,NO
142,Italian Grand Prix,14,2,2,Red Bull,344.5,8,0,NO
143,Italian Grand Prix,14,3,3,McLaren,215,1,1,RIC
144,Italian Grand Prix,14,4,4,Ferrari,201.5,0,0,NO
145,Italian Grand Prix,14,5,5,Alpine F1 Team,95,1,0,NO
146,Italian Grand Prix,14,6,6,AlphaTauri,84,0,0,NO
147,Italian Grand Prix,14,7,7,Aston Martin,59,0,0,NO
148,Italian Grand Prix,14,8,8,Williams,22,0,0,NO
149,Italian Grand Prix,14,9,9,Alfa Romeo,3,0,0,NO
150,Italian Grand Prix,14,10,10,Haas F1 Team,0,0,0,NO
151,Russian Grand Prix,15,1,1,Mercedes,397.5,5,1,HAM
152,Russian Grand Prix,15,2,2,Red Bull,364.5,8,0,NO
153,Russian Grand Prix,15,3,3,McLaren,234,1,0,NO
154,Russian Grand Prix,15,4,4,Ferrari,216.5,0,0,NO
155,Russian Grand Prix,15,5,5,Alpine F1 Team,103,1,0,NO
156,Russian Grand Prix,15,6,6,AlphaTauri,84,0,0,NO
157,Russian Grand Prix,15,7,7,Aston Martin,59,0,0,NO
158,Russian Grand Prix,15,8,8,Williams,23,0,0,NO
159,Russian Grand Prix,15,9,9,Alfa Romeo,7,0,0,NO
160,Russian Grand Prix,15,10,10,Haas F1 Team,0,0,0,NO
161,Turkish Grand Prix,16,1,1,Mercedes,433.5,6,1,BOT
162,Turkish Grand Prix,16,2,2,Red Bull,397.5,8,0,NO
163,Turkish Grand Prix,16,3,3,McLaren,240,1,0,NO
164,Turkish Grand Prix,16,4,4,Ferrari,232.5,0,0,NO
165,Turkish Grand Prix,16,5,5,Alpine F1 Team,104,1,0,NO
166,Turkish Grand Prix,16,6,6,AlphaTauri,92,0,0,NO
167,Turkish Grand Prix,16,7,7,Aston Martin,61,0,0,NO
168,Turkish Grand Prix,16,8,8,Williams,23,0,0,NO
169,Turkish Grand Prix,16,9,9,Alfa Romeo,7,0,0,NO
170,Turkish Grand Prix,16,10,10,Haas F1 Team,0,0,0,NO
171,United States Grand Prix,17,1,1,Mercedes,460.5,6,0,NO
172,United States Grand Prix,17,2,2,Red Bull,437.5,9,1,VER
173,United States Grand Prix,17,3,3,McLaren,254,1,0,NO
174,United States Grand Prix,17,4,4,Ferrari,250.5,0,0,NO
175,United States Grand Prix,17,5,5,Alpine F1 Team,104,1,0,NO
176,United States Grand Prix,17,6,6,AlphaTauri,94,0,0,NO
177,United States Grand Prix,17,7,7,Aston Martin,62,0,0,NO
178,United States Grand Prix,17,8,8,Williams,23,0,0,NO
179,United States Grand Prix,17,9,9,Alfa Romeo,7,0,0,NO
180,United States Grand Prix,17,10,10,Haas F1 Team,0,0,0,NO
181,Mexico City Grand Prix,18,1,1,Mercedes,478.5,6,0,NO
182,Mexico City Grand Prix,18,2,2,Red Bull,477.5,10,1,VER
183,Mexico City Grand Prix,18,3,3,Ferrari,268.5,0,0,NO
184,Mexico City Grand Prix,18,4,4,McLaren,255,1,0,NO
185,Mexico City Grand Prix,18,5,5,Alpine F1 Team,106,1,0,NO
186,Mexico City Grand Prix,18,6,6,AlphaTauri,106,0,0,NO
187,Mexico City Grand Prix,18,7,7,Aston Martin,68,0,0,NO
188,Mexico City Grand Prix,18,8,8,Williams,23,0,0,NO
189,Mexico City Grand Prix,18,9,9,Alfa Romeo,11,0,0,NO
190,Mexico City Grand Prix,18,10,10,Haas F1 Team,0,0,0,NO
191,São Paulo Grand Prix,19,1,1,Mercedes,521.5,7,1,HAM
192,São Paulo Grand Prix,19,2,2,Red Bull,510.5,10,0,NO
193,São Paulo Grand Prix,19,3,3,Ferrari,287.5,0,0,NO
194,São Paulo Grand Prix,19,4,4,McLaren,256,1,0,NO
195,São Paulo Grand Prix,19,5,5,Alpine F1 Team,112,1,0,NO
196,São Paulo Grand Prix,19,6,6,AlphaTauri,112,0,0,NO
197,São Paulo Grand Prix,19,7,7,Aston Martin,68,0,0,NO
198,São Paulo Grand Prix,19,8,8,Williams,23,0,0,NO
199,São Paulo Grand Prix,19,9,9,Alfa Romeo,11,0,0,NO
200,São Paulo Grand Prix,19,10,10,Haas F1 Team,0,0,0,NO
201,Qatar Grand Prix,20,1,1,Mercedes,546.5,8,1,HAM
202,Qatar Grand Prix,20,2,2,Red Bull,541.5,10,0,NO
203,Qatar Grand Prix,20,3,3,Ferrari,297.5,0,0,NO
204,Qatar Grand Prix,20,4,4,McLaren,258,1,0,NO
205,Qatar Grand Prix,20,5,5,Alpine F1 Team,137,1,0,NO
206,Qatar Grand Prix,20,6,6,AlphaTauri,112,0,0,NO
207,Qatar Grand Prix,20,7,7,Aston Martin,77,0,0,NO
208,Qatar Grand Prix,20,8,8,Williams,23,0,0,NO
209,Qatar Grand Prix,20,9,9,Alfa Romeo,11,0,0,NO
210,Qatar Grand Prix,20,10,10,Haas F1 Team,0,0,0,NO
211,Saudi Arabian Grand Prix,21,1,1,Mercedes,587.5,9,1,HAM
212,Saudi Arabian Grand Prix,21,2,2,Red Bull,559.5,10,0,NO
213,Saudi Arabian Grand Prix,21,3,3,Ferrari,307.5,0,0,NO
214,Saudi Arabian Grand Prix,21,4,4,McLaren,269,1,0,NO
215,Saudi Arabian Grand Prix,21,5,5,Alpine F1 Team,149,1,0,NO
216,Saudi Arabian Grand Prix,21,6,6,AlphaTauri,120,0,0,NO
217,Saudi Arabian Grand Prix,21,7,7,Aston Martin,77,0,0,NO
218,Saudi Arabian Grand Prix,21,8,8,Williams,23,0,0,NO
219,Saudi Arabian Grand Prix,21,9,9,Alfa Romeo,13,0,0,NO
220,Saudi Arabian Grand Prix,21,10,10,Haas F1 Team,0,0,0,NO
221,Abu Dhabi Grand Prix,22,1,1,Mercedes,613.5,9,0,NO
222,Abu Dhabi Grand Prix,22,2,2,Red Bull,585.5,11,1,VER
223,Abu Dhabi Grand Prix,22,3,3,Ferrari,323.5,0,0,NO
224,Abu Dhabi Grand Prix,22,4,4,McLaren,275,1,0,NO
225,Abu Dhabi Grand Prix,22,5,5,Alpine F1 Team,155,1,0,NO
226,Abu Dhabi Grand Prix,22,6,6,AlphaTauri,142,0,0,NO
227,Abu Dhabi Grand Prix,22,7,7,Aston Martin,77,0,0,NO
228,Abu Dhabi Grand Prix,22,8,8,Williams,23,0,0,NO
229,Abu Dhabi Grand Prix,22,9,9,Alfa Romeo,13,0,0,NO
230,Abu Dhabi Grand Prix,22,10,10,Haas F1 Team,0,0,0,NO
